Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra	Ch13_X	Ch13_Y	Ch13_Z	Ch13_phi	Ch13_theta	Ch13_RMS	Ch13_Extra	Ch14_X	Ch14_Y	Ch14_Z	Ch14_phi	Ch14_theta	Ch14_RMS	Ch14_Extra	Ch15_X	Ch15_Y	Ch15_Z	Ch15_phi	Ch15_theta	Ch15_RMS	Ch15_Extra	Ch16_X	Ch16_Y	Ch16_Z	Ch16_phi	Ch16_theta	Ch16_RMS	Ch16_Extra
98.17	-9.80	-77.46	-94.41	73.69	2.93	0.00	124.65	-8.17	33.17	-178.76	25.72	4.42	0.00	12.02	66.42	-8.44	-170.81	-8.49	7.10	0.00	-0.79	-57.13	-8.47	-21.76	20.87	7.85	0.00	121.67	-11.60	-13.17	-44.41	-48.71	6.18	0.00	120.50	-9.83	-35.82	-175.02	11.10	4.52	0.00	-16.11	152.88	-640.94	-147.85	-11.36	54.57	0.00	89.15	10.60	-17.37	60.99	-63.16	8.36	0.00	106.61	-8.40	-19.91	4.55	-16.83	4.13	0.00	90.31	-3.79	-12.23	131.77	10.68	4.11	0.00	-249.13	144.79	-352.34	-166.69	-36.00	8218.85	0.00	79.82	13.66	-17.86	117.83	-19.05	5.73	0.00	79.67	-28.59	-13.01	100.02	4.51	4.39	0.00	-140.29	154.51	-513.57	20.03	-13.94	63.27	0.00	418.39	-56.80	-659.46	111.98	6.73	41.09	0.00	112.49	-4.03	-38.64	-34.44	47.40	3.32	0.00
98.17	-9.84	-77.42	-94.48	73.72	3.54	0.00	124.65	-8.17	33.17	-178.76	25.72	4.30	0.00	12.02	66.42	-8.44	-170.81	-8.50	6.59	0.00	-0.80	-57.12	-8.47	-21.76	20.87	6.92	0.00	121.67	-11.64	-13.16	-44.41	-48.70	6.62	0.00	120.67	-9.82	-35.67	-175.02	11.04	4.11	0.00	-16.04	152.71	-641.09	-147.82	-11.36	53.20	0.00	89.08	10.57	-17.38	61.04	-63.18	8.54	0.00	106.65	-8.42	-19.90	4.54	-16.78	4.09	0.00	90.35	-3.75	-12.22	131.79	10.70	4.12	0.00	-249.10	144.77	-352.36	-166.69	-36.01	7465.84	0.00	79.83	13.65	-17.83	117.84	-19.06	5.77	0.00	79.66	-28.57	-13.00	100.02	4.50	5.01	0.00	68.97	261.07	-580.79	-15.25	-15.92	14.93	0.00	418.43	-56.84	-659.44	111.98	6.73	73.04	0.00	112.52	-4.03	-38.63	-34.43	47.42	3.63	0.00
98.18	-9.87	-77.40	-94.54	73.73	3.95	0.00	124.65	-8.17	33.18	-178.76	25.71	4.39	0.00	12.02	66.42	-8.44	-170.82	-8.50	7.45	0.00	-0.80	-57.12	-8.47	-21.76	20.87	7.18	0.00	121.67	-11.66	-13.16	-44.40	-48.70	6.68	0.00	120.75	-9.80	-35.58	-175.02	11.01	4.28	0.00	-15.96	152.48	-641.30	-147.77	-11.36	44.80	0.00	89.03	10.55	-17.38	61.08	-63.19	8.28	0.00	106.66	-8.43	-19.90	4.53	-16.74	4.08	0.00	90.39	-3.73	-12.21	131.80	10.71	4.30	0.00	-249.08	144.75	-352.38	-166.68	-36.01	6386.91	0.00	79.85	13.65	-17.82	117.85	-19.07	5.84	0.00	79.65	-28.56	-12.99	100.01	4.49	5.08	0.00	201.36	328.46	-623.31	-36.22	-14.41	55.09	0.00	418.47	-56.88	-659.43	111.98	6.72	38.54	0.00	112.53	-4.04	-38.63	-34.43	47.44	3.38	0.00
98.20	-9.90	-77.40	-94.59	73.74	3.40	0.00	124.66	-8.17	33.18	-178.76	25.71	4.27	0.00	12.02	66.42	-8.44	-170.82	-8.51	6.92	0.00	-0.80	-57.12	-8.47	-21.76	20.87	7.26	0.00	121.68	-11.63	-13.15	-44.38	-48.70	6.38	0.00	120.74	-9.79	-35.57	-175.02	11.02	4.23	0.00	-15.92	152.44	-641.32	-147.77	-11.36	67.91	0.00	89.01	10.55	-17.38	61.10	-63.19	8.52	0.00	106.64	-8.44	-19.92	4.52	-16.72	3.95	0.00	90.41	-3.74	-12.22	131.81	10.73	4.25	0.00	-249.05	144.73	-352.41	-166.68	-36.01	4564.46	0.00	79.88	13.66	-17.83	117.85	-19.08	5.80	0.00	79.66	-28.56	-12.99	100.01	4.48	4.91	0.00	232.40	344.21	-633.28	-40.28	-13.88	70.50	0.00	418.51	-56.92	-659.41	111.98	6.72	65.64	0.00	112.52	-4.04	-38.63	-34.43	47.44	3.17	0.00
98.22	-9.92	-77.41	-94.62	73.75	3.22	0.00	124.66	-8.17	33.18	-178.76	25.70	3.90	0.00	12.02	66.41	-8.44	-170.82	-8.51	6.50	0.00	-0.80	-57.11	-8.47	-21.76	20.87	7.10	0.00	121.68	-11.60	-13.14	-44.36	-48.70	6.22	0.00	120.68	-9.78	-35.60	-175.02	11.04	4.02	0.00	-15.98	152.84	-640.87	-147.87	-11.37	44.98	0.00	89.03	10.56	-17.37	61.10	-63.17	8.64	0.00	106.62	-8.44	-19.94	4.50	-16.70	3.83	0.00	90.41	-3.76	-12.23	131.81	10.75	4.05	0.00	-249.02	144.70	-352.43	-166.68	-36.01	2799.60	0.00	79.91	13.66	-17.85	117.85	-19.08	5.77	0.00	79.66	-28.56	-12.98	100.01	4.47	5.02	0.00	199.23	327.26	-622.63	-35.92	-14.43	43.56	0.00	418.54	-56.96	-659.40	111.98	6.71	72.78	0.00	112.51	-4.04	-38.63	-34.43	47.44	3.14	0.00
98.24	-9.94	-77.42	-94.64	73.75	3.58	0.00	124.66	-8.18	33.18	-178.77	25.70	3.78	0.00	12.02	66.41	-8.44	-170.82	-8.52	7.09	0.00	-0.80	-57.11	-8.47	-21.76	20.88	7.12	0.00	121.68	-11.58	-13.13	-44.34	-48.70	6.29	0.00	120.64	-9.78	-35.64	-175.03	11.05	4.02	0.00	-16.06	153.36	-640.30	-148.00	-11.37	71.31	0.00	89.06	10.56	-17.37	61.09	-63.15	8.89	0.00	106.61	-8.45	-19.94	4.50	-16.67	4.25	0.00	90.39	-3.78	-12.24	131.80	10.78	4.10	0.00	-249.00	144.68	-352.45	-166.68	-36.01	2320.30	0.00	79.93	13.66	-17.87	117.84	-19.08	5.88	0.00	79.67	-28.56	-12.98	100.02	4.47	5.03	0.00	162.77	308.64	-610.92	-30.67	-14.99	69.70	0.00	418.58	-57.00	-659.38	111.98	6.71	70.28	0.00	112.51	-4.05	-38.63	-34.44	47.44	3.34	0.00
98.24	-9.95	-77.42	-94.64	73.76	3.31	0.00	124.66	-8.18	33.18	-178.77	25.69	4.11	0.00	12.01	66.41	-8.44	-170.82	-8.52	6.83	0.00	-0.80	-57.11	-8.47	-21.76	20.88	7.20	0.00	121.67	-11.59	-13.13	-44.35	-48.70	6.43	0.00	120.66	-9.79	-35.64	-175.03	11.05	4.12	0.00	-16.01	153.24	-640.40	-147.98	-11.37	75.56	0.00	89.09	10.57	-17.37	61.09	-63.13	8.98	0.00	106.61	-8.45	-19.94	4.50	-16.64	4.14	0.00	90.36	-3.79	-12.25	131.79	10.81	4.10	0.00	-248.98	144.66	-352.47	-166.68	-36.01	4571.51	0.00	79.92	13.66	-17.86	117.83	-19.07	5.83	0.00	79.67	-28.56	-12.98	100.02	4.47	4.68	0.00	158.98	306.65	-609.71	-30.09	-15.04	70.50	0.00	418.61	-57.03	-659.37	111.98	6.71	63.71	0.00	112.53	-4.04	-38.62	-34.45	47.45	3.46	0.00
98.21	-9.95	-77.40	-94.60	73.77	3.30	0.00	124.66	-8.18	33.18	-178.77	25.69	4.40	0.00	12.01	66.41	-8.43	-170.82	-8.52	6.98	0.00	-0.80	-57.11	-8.47	-21.76	20.88	7.46	0.00	121.67	-11.62	-13.13	-44.36	-48.70	6.57	0.00	120.70	-9.80	-35.62	-175.03	11.04	4.17	0.00	-15.80	152.31	-641.36	-147.77	-11.36	67.10	0.00	89.08	10.56	-17.37	61.12	-63.11	8.35	0.00	106.61	-8.45	-19.94	4.51	-16.62	3.76	0.00	90.36	-3.78	-12.25	131.78	10.84	4.05	0.00	-248.96	144.64	-352.49	-166.67	-36.01	6635.12	0.00	79.90	13.65	-17.85	117.82	-19.07	5.79	0.00	79.67	-28.56	-12.98	100.01	4.47	4.80	0.00	180.72	317.68	-616.70	-33.31	-14.72	53.06	0.00	418.64	-57.06	-659.36	111.98	6.70	60.53	0.00	112.57	-4.04	-38.62	-34.46	47.46	3.39	0.00
98.18	-9.94	-77.38	-94.53	73.77	3.48	0.00	124.66	-8.18	33.18	-178.77	25.69	4.08	0.00	12.01	66.41	-8.43	-170.82	-8.52	7.22	0.00	-0.80	-57.11	-8.47	-21.76	20.88	7.32	0.00	121.68	-11.64	-13.13	-44.36	-48.70	6.63	0.00	120.72	-9.80	-35.62	-175.03	11.03	4.07	0.00	-15.60	151.46	-642.24	-147.58	-11.36	71.65	0.00	89.06	10.54	-17.37	61.18	-63.09	8.32	0.00	106.59	-8.43	-19.94	4.53	-16.62	4.00	0.00	90.38	-3.78	-12.25	131.77	10.86	4.12	0.00	-248.94	144.62	-352.50	-166.67	-36.01	7800.58	0.00	79.89	13.64	-17.83	117.81	-19.06	5.83	0.00	79.67	-28.57	-12.98	100.01	4.48	5.09	0.00	198.93	326.92	-622.55	-35.87	-14.43	68.16	0.00	418.66	-57.09	-659.35	111.98	6.70	56.05	0.00	112.60	-4.03	-38.61	-34.45	47.46	3.37	0.00
98.16	-9.93	-77.37	-94.47	73.77	3.22	0.00	124.67	-8.18	33.18	-178.77	25.68	3.93	0.00	12.01	66.41	-8.43	-170.82	-8.52	6.49	0.00	-0.79	-57.11	-8.47	-21.76	20.88	7.22	0.00	121.68	-11.64	-13.13	-44.36	-48.70	6.50	0.00	120.70	-9.79	-35.63	-175.02	11.04	4.12	0.00	-15.67	151.83	-641.82	-147.67	-11.36	46.26	0.00	89.02	10.53	-17.37	61.25	-63.07	8.29	0.00	106.56	-8.40	-19.95	4.55	-16.64	3.91	0.00	90.41	-3.78	-12.25	131.76	10.86	4.16	0.00	-248.93	144.60	-352.52	-166.67	-36.02	8756.82	0.00	79.89	13.65	-17.83	117.80	-19.06	5.62	0.00	79.67	-28.58	-12.98	100.01	4.49	4.84	0.00	196.24	325.51	-621.70	-35.49	-14.47	59.76	0.00	418.69	-57.12	-659.35	111.98	6.70	59.15	0.00	112.60	-4.03	-38.60	-34.44	47.45	3.22	0.00
